Entity ID,Beginning Date,Ending Date,Agency,Vendor,Vendor ID,Map Projection,Datum,Resolution,Resolution Unit,File Format,Product Type,Center Latitude,Center Longitude,NW Corner Lat,NW Corner Long,NE  Corner Lat,NE  Corner Long,SE Corner Lat,SE Corner Long,SW Corner Lat,SW Corner Long,Center Latitude dec,Center Longitude dec,NW  Corner Lat dec,NW Corner Long dec,NE Corner Lat dec,NE Corner Long dec,SE Corner Lat dec,SE Corner Long dec,SW Corner Lat dec,SW Corner Long dec,Display ID
IFSARAK2010N6315W14245_01,2010/06/14,2010/06/23,USGS,IntermapTechnologiesInc.,ORI_n6315w14245P,AlbersConicalEqualArea,NAD83,0.625,METER,GEOTIFF,ORI,63°22'29.89"N,142°37'28.02"W,63°31'24.69"N,142°45'01.62"W,63°29'45.41"N,142°23'37.25"W,63°13'34.79"N,142°29'58.95"W,63°15'13.14"N,142°51'12.04"W,63.3749693,-142.6244499,63.5235249,-142.75045,63.4959471,-142.3936805,63.2263304,-142.4997083,63.25365,-142.8533444,IFSARAK2010N6315W14245_01,IFSARAK2010N6315W14245_01
IFSARAK2010N6315W14300_01,2010/06/14,2010/06/23,USGS,IntermapTechnologiesInc.,ORI_n6315w14300P,AlbersConicalEqualArea,NAD83,0.625,METER,GEOTIFF,ORI,63°22'29.92"N,142°52'27.97"W,63°31'23.11"N,143°00'02.54"W,63°29'46.57"N,142°38'44.84"W,63°13'36.42"N,142°44'57.91"W,63°15'12.06"N,143°06'04.38"W,63.3749777,-142.874436,63.523086,-143.0007055,63.4962694,-142.6457888,63.2267832,-142.7494194,63.25335,-143.1012166,IFSARAK2010N6315W14300_01,IFSARAK2010N6315W14300_01
IFSARAK2010N6330W14115_01,2010/06/14,2010/06/25,USGS,IntermapTechnologiesInc.,ORI_n6330w14115P,AlbersConicalEqualArea,NAD83,0.625,METER,GEOTIFF,ORI,63°37'29.84"N,141°07'28.12"W,63°46'33.05"N,141°14'54.08"W,63°44'37.84"N,140°52'50.13"W,63°28'26.36"N,141°00'06.72"W,63°30'20.48"N,141°21'59.04"W,63.6249554,-141.1244777,63.7758471,-141.2483555,63.7438444,-140.8805916,63.4739888,-141.0018666,63.5056888,-141.3664,IFSARAK2010N6330W14115_01,IFSARAK2010N6330W14115_01
IFSARAK2010N6330W14130_01,2010/06/14,2010/06/25,USGS,IntermapTechnologiesInc.,ORI_n6330w14130P,AlbersConicalEqualArea,NAD83,0.625,METER,GEOTIFF,ORI,63°37'29.86"N,141°22'27.99"W,63°46'31.55"N,141°29'55.37"W,63°44'39.14"N,141°07'57.26"W,63°28'27.88"N,141°15'05.16"W,63°30'19.23"N,141°36'51.68"W,63.624961,-141.3744416,63.7754304,-141.4987138,63.7442055,-141.1325721,63.474411,-141.2514333,63.5053416,-141.6143555,IFSARAK2010N6330W14130_01,IFSARAK2010N6330W14130_01
IFSARAK2010N6330W14145_01,2010/06/14,2010/06/25,USGS,IntermapTechnologiesInc.,ORI_n6330w14145P,AlbersConicalEqualArea,NAD83,0.625,METER,GEOTIFF,ORI,63°37'29.87"N,141°37'28.13"W,63°46'30.04"N,141°44'56.74"W,63°44'40.43"N,141°23'04.86"W,63°28'29.41"N,141°30'04.07"W,63°30'17.99"N,141°51'44.40"W,63.6249638,-141.6244804,63.775011,-141.7490944,63.7445638,-141.3846833,63.474836,-141.5011305,63.5049972,-141.8623333,IFSARAK2010N6330W14145_01,IFSARAK2010N6330W14145_01
IFSARAK2010N6330W14200_01,2010/06/14,2010/06/25,USGS,IntermapTechnologiesInc.,ORI_n6330w14200P,AlbersConicalEqualArea,NAD83,0.625,METER,GEOTIFF,ORI,63°37'29.85"N,141°52'28.20"W,63°46'28.52"N,141°59'58.20"W,63°44'41.65"N,141°38'12.21"W,63°28'30.89"N,141°45'02.75"W,63°30'16.75"N,142°06'37.22"W,63.6249582,-141.8744999,63.7745888,-141.9994999,63.7449027,-141.6367249,63.4752471,-141.7507638,63.5046527,-142.1103388,IFSARAK2010N6330W14200_01,IFSARAK2010N6330W14200_01
IFSARAK2010N6330W14215_01,2010/06/14,2010/06/23,USGS,IntermapTechnologiesInc.,ORI_n6330w14215P,AlbersConicalEqualArea,NAD83,0.625,METER,GEOTIFF,ORI,63°37'29.86"N,142°07'28"W,63°46'27.11"N,142°14'59.34"W,63°44'42.97"N,141°53'19.28"W,63°28'32.32"N,142°00'01.22"W,63°30'15.48"N,142°21'29.80"W,63.624961,-142.1244443,63.7741971,-142.2498166,63.7452694,-141.8886888,63.4756443,-142.0003388,63.5043,-142.3582777,IFSARAK2010N6330W14215_01,IFSARAK2010N6330W14215_01
IFSARAK2010N6330W14230_01,2010/06/14,2010/06/23,USGS,IntermapTechnologiesInc.,ORI_n6330w14230P,AlbersConicalEqualArea,NAD83,0.625,METER,GEOTIFF,ORI,63°37'29.87"N,142°22'28.11"W,63°46'25.53"N,142°30'00.65"W,63°44'44.13"N,142°08'26.91"W,63°28'33.92"N,142°15'00.13"W,63°30'14.37"N,142°36'22.44"W,63.6249638,-142.3744749,63.7737582,-142.5001805,63.7455916,-142.1408083,63.4760888,-142.2500361,63.5039916,-142.6062333,IFSARAK2010N6330W14230_01,IFSARAK2010N6330W14230_01
IFSARAK2010N6330W14245_01,2010/06/14,2010/06/23,USGS,IntermapTechnologiesInc.,ORI_n6330w14245P,AlbersConicalEqualArea,NAD83,0.625,METER,GEOTIFF,ORI,63°37'29.84"N,142°37'28.01"W,63°46'24.07"N,142°45'01.67"W,63°44'45.38"N,142°23'34.27"W,63°28'35.31"N,142°29'58.91"W,63°30'13.08"N,142°51'14.92"W,63.6249554,-142.6244471,63.7733527,-142.7504638,63.7459388,-142.3928527,63.4764749,-142.4996971,63.5036333,-142.8541444,IFSARAK2010N6330W14245_01,IFSARAK2010N6330W14245_01
IFSARAK2010N6330W14300_01,2010/06/14,2010/06/23,USGS,IntermapTechnologiesInc.,ORI_n6330w14300P,AlbersConicalEqualArea,NAD83,0.625,METER,GEOTIFF,ORI,63°37'29.87"N,142°52'28.04"W,63°46'22.60"N,143°00'02.83"W,63°44'46.59"N,142°38'41.80"W,63°28'36.84"N,142°44'57.80"W,63°30'11.94"N,143°06'07.49"W,63.6249638,-142.8744554,63.7729443,-143.0007861,63.7462749,-142.6449444,63.4768999,-142.7493888,63.5033166,-143.1020805,IFSARAK2010N6330W14300_01,IFSARAK2010N6330W14300_01
IFSARAK2010N6345W14115_01,2010/06/14,2010/06/25,USGS,IntermapTechnologiesInc.,ORI_n6345w14115P,AlbersConicalEqualArea,NAD83,0.625,METER,GEOTIFF,ORI,63°52'29.75"N,141°07'28.03"W,64°01'32.31"N,141°14'54.24"W,63°59'37.72"N,140°52'46.49"W,63°43'26.93"N,141°00'06.41"W,63°45'20.42"N,141°22'02.40"W,63.8749304,-141.1244527,64.0256416,-141.2483999,63.993811,-140.8795804,63.7241471,-141.0017805,63.7556722,-141.3673332,IFSARAK2010N6345W14115_01,IFSARAK2010N6345W14115_01
IFSARAK2010N6345W14130_01,2010/06/14,2010/06/25,USGS,IntermapTechnologiesInc.,ORI_n6345w14130P,AlbersConicalEqualArea,NAD83,0.625,METER,GEOTIFF,ORI,63°52'29.86"N,141°22'28.09"W,64°01'30.99"N,141°29'55.70"W,63°59'39.19"N,141°07'53.84"W,63°43'28.46"N,141°15'05.07"W,63°45'19.20"N,141°36'55.21"W,63.874961,-141.3744693,64.0252749,-141.4988055,63.9942194,-141.1316221,63.7245721,-141.2514083,63.7553333,-141.6153361,IFSARAK2010N6345W14130_01,IFSARAK2010N6345W14130_01
IFSARAK2010N6345W14145_01,2010/06/14,2010/06/25,USGS,IntermapTechnologiesInc.,ORI_n6345w14145P,AlbersConicalEqualArea,NAD83,0.625,METER,GEOTIFF,ORI,63°52'29.87"N,141°37'28.10"W,64°01'29.49"N,141°44'56.94"W,63°59'40.47"N,141°23'01.37"W,63°43'29.98"N,141°30'03.85"W,63°45'17.96"N,141°51'47.74"W,63.8749638,-141.6244721,64.0248582,-141.7491499,63.9945749,-141.3837138,63.7249943,-141.5010694,63.7549888,-141.8632611,IFSARAK2010N6345W14145_01,IFSARAK2010N6345W14145_01
IFSARAK2010N6345W14200_01,2010/06/14,2010/06/25,USGS,IntermapTechnologiesInc.,ORI_n6345w14200P,AlbersConicalEqualArea,NAD83,0.625,METER,GEOTIFF,ORI,63°52'29.86"N,141°52'28.04"W,64°01'27.98"N,141°59'58.27"W,63°59'41.70"N,141°38'08.66"W,63°43'31.47"N,141°45'02.40"W,63°45'16.74"N,142°06'40.37"W,63.874961,-141.8744554,64.0244388,-141.9995194,63.9949166,-141.6357388,63.7254082,-141.7506666,63.75465,-142.1112138,IFSARAK2010N6345W14200_01,IFSARAK2010N6345W14200_01
IFSARAK2010N6345W14215_01,2010/06/14,2010/06/23,USGS,IntermapTechnologiesInc.,ORI_n6345w14215P,AlbersConicalEqualArea,NAD83,0.625,METER,GEOTIFF,ORI,63°52'29.85"N,142°07'28.10"W,64°01'26.48"N,142°14'59.71"W,63°59'42.91"N,141°53'16.08"W,63°43'32.95"N,142°00'01.08"W,63°45'15.53"N,142°21'33.12"W,63.8749582,-142.1244721,64.0240221,-142.2499194,63.9952527,-141.8877999,63.7258193,-142.0003,63.7543138,-142.3592,IFSARAK2010N6345W14215_01,IFSARAK2010N6345W14215_01
IFSARAK2010N6345W14230_01,2010/06/14,2010/06/23,USGS,IntermapTechnologiesInc.,ORI_n6345w14230P,AlbersConicalEqualArea,NAD83,0.625,METER,GEOTIFF,ORI,63°52'29.82"N,142°22'28.12"W,64°01'24.94"N,142°30'00.90"W,63°59'44.10"N,142°08'23.64"W,63°43'34.42"N,142°14'59.93"W,63°45'14.31"N,142°36'25.63"W,63.8749499,-142.3744777,64.0235943,-142.50025,63.9955833,-142.1398999,63.7262277,-142.2499805,63.753975,-142.6071194,IFSARAK2010N6345W14230_01,IFSARAK2010N6345W14230_01
IFSARAK2010N6345W14245_01,2010/06/14,2010/06/23,USGS,IntermapTechnologiesInc.,ORI_n6345w14245P,AlbersConicalEqualArea,NAD83,0.625,METER,GEOTIFF,ORI,63°52'29.86"N,142°37'28.07"W,64°01'23.57"N,142°45'02.16"W,63°59'45.39"N,142°23'30.93"W,63°43'35.86"N,142°29'58.57"W,63°45'13.10"N,142°51'18.28"W,63.874961,-142.6244638,64.0232138,-142.7506,63.9959416,-142.3919249,63.7266277,-142.4996027,63.7536388,-142.8550777,IFSARAK2010N6345W14245_01,IFSARAK2010N6345W14245_01
IFSARAK2010N6345W14300_01,2010/06/14,2010/06/23,USGS,IntermapTechnologiesInc.,ORI_n6345w14300P,AlbersConicalEqualArea,NAD83,0.625,METER,GEOTIFF,ORI,63°52'29.87"N,142°52'28"W,64°01'22"N,143°00'03.25"W,63°59'46.51"N,142°38'38.46"W,63°43'37.45"N,142°44'57.33"W,63°45'12.04"N,143°06'10.66"W,63.8749638,-142.8744443,64.0227777,-143.0009027,63.9962527,-142.6440166,63.7270693,-142.7492583,63.7533444,-143.1029611,IFSARAK2010N6345W14300_01,IFSARAK2010N6345W14300_01
IFSARAK2010N6200W14115_01,2010/06/15,2010/07/01,USGS,IntermapTechnologiesInc.,ORI_n6200w14115P,AlbersConicalEqualArea,NAD83,0.625,METER,GEOTIFF,ORI,62°07'29.87"N,141°07'28.28"W,62°16'36.69"N,141°14'52.86"W,62°14'37.75"N,140°53'10.78"W,61°58'22.71"N,141°00'08.05"W,62°00'20.60"N,141°21'39.19"W,62.1249638,-141.1245221,62.2768582,-141.2480166,62.2438194,-140.8863277,61.9729749,-141.0022361,62.0057222,-141.3608861,IFSARAK2010N6200W14115_01,IFSARAK2010N6200W14115_01
IFSARAK2010N6200W14130_01,2010/06/15,2010/07/01,USGS,IntermapTechnologiesInc.,ORI_n6200w14130P,AlbersConicalEqualArea,NAD83,0.625,METER,GEOTIFF,ORI,62°07'29.82"N,141°22'28.21"W,62°16'35.17"N,141°29'54.15"W,62°14'39.09"N,141°08'17.60"W,61°58'24.12"N,141°15'06.63"W,62°00'19.17"N,141°36'32.27"W,62.1249499,-141.3745027,62.276436,-141.4983749,62.2441916,-141.1382221,61.9733666,-141.2518416,62.005325,-141.6089638,IFSARAK2010N6200W14130_01,IFSARAK2010N6200W14130_01
IFSARAK2010N6200W14145_01,2010/06/15,2010/07/01,USGS,IntermapTechnologiesInc.,ORI_n6200w14145P,AlbersConicalEqualArea,NAD83,0.625,METER,GEOTIFF,ORI,62°07'29.91"N,141°37'28.14"W,62°16'33.72"N,141°44'55.45"W,62°14'40.49"N,141°23'24.45"W,61°58'25.75"N,141°30'05.18"W,62°00'17.99"N,141°51'25.31"W,62.1249749,-141.6244832,62.2760332,-141.748736,62.2445805,-141.3901249,61.9738193,-141.5014388,62.0049972,-141.8570305,IFSARAK2010N6200W14145_01,IFSARAK2010N6200W14145_01
IFSARAK2010N6200W14200_01,2010/06/15,2010/07/01,USGS,IntermapTechnologiesInc.,ORI_n6200w14200P,AlbersConicalEqualArea,NAD83,0.625,METER,GEOTIFF,ORI,62°07'29.82"N,141°52'28.03"W,62°16'32"N,141°59'56.56"W,62°14'41.61"N,141°38'31.48"W,61°58'27.29"N,141°45'03.86"W,62°00'16.70"N,142°06'18.10"W,62.1249499,-141.8744527,62.2755554,-141.9990444,62.2448916,-141.6420777,61.9742471,-141.7510722,62.0046388,-142.1050277,IFSARAK2010N6200W14200_01,IFSARAK2010N6200W14200_01
IFSARAK2010N6215W14115_01,2010/06/15,2010/07/01,USGS,IntermapTechnologiesInc.,ORI_n6215w14115P,AlbersConicalEqualArea,NAD83,0.625,METER,GEOTIFF,ORI,62°22'29.88"N,141°07'28.06"W,62°31'36.12"N,141°14'52.81"W,62°29'37.82"N,140°53'07.29"W,62°13'23.30"N,141°00'07.70"W,62°15'20.55"N,141°21'42.18"W,62.3749666,-141.124461,62.5266999,-141.2480027,62.4938388,-140.8853583,62.2231388,-141.0021388,62.2557083,-141.3617166,IFSARAK2010N6215W14115_01,IFSARAK2010N6215W14115_01
IFSARAK2010N6215W14130_01,2010/06/15,2010/07/01,USGS,IntermapTechnologiesInc.,ORI_n6215w14130P,AlbersConicalEqualArea,NAD83,0.625,METER,GEOTIFF,ORI,62°22'29.92"N,141°22'28.19"W,62°31'34.63"N,141°29'54.33"W,62°29'39.17"N,141°08'14.39"W,62°13'24.88"N,141°15'06.43"W,62°15'19.31"N,141°36'35.36"W,62.3749777,-141.3744971,62.526286,-141.4984249,62.4942138,-141.1373305,62.2235777,-141.2517861,62.2553638,-141.6098222,IFSARAK2010N6215W14130_01,IFSARAK2010N6215W14130_01
IFSARAK2010N6215W14145_01,2010/06/15,2010/07/01,USGS,IntermapTechnologiesInc.,ORI_n6215w14145P,AlbersConicalEqualArea,NAD83,0.625,METER,GEOTIFF,ORI,62°22'29.86"N,141°37'28.07"W,62°31'33.03"N,141°44'55.59"W,62°29'40.40"N,141°23'21.25"W,62°13'26.35"N,141°30'04.93"W,62°15'17.97"N,141°51'28.29"W,62.374961,-141.6244638,62.5258416,-141.7487749,62.4945555,-141.389236,62.223986,-141.5013694,62.2549916,-141.8578583,IFSARAK2010N6215W14145_01,IFSARAK2010N6215W14145_01
IFSARAK2010N6215W14200_01,2010/06/15,2010/07/01,USGS,IntermapTechnologiesInc.,ORI_n6215w14200P,AlbersConicalEqualArea,NAD83,0.625,METER,GEOTIFF,ORI,62°22'29.89"N,141°52'28.15"W,62°31'31.52"N,141°59'56.86"W,62°29'41.72"N,141°38'28.49"W,62°13'27.92"N,141°45'03.83"W,62°15'16.73"N,142°06'21.25"W,62.3749693,-141.874486,62.5254221,-141.9991277,62.4949221,-141.6412471,62.2244221,-141.7510638,62.2546472,-142.1059027,IFSARAK2010N6215W14200_01,IFSARAK2010N6215W14200_01
IFSARAK2010N6230W14115_01,2010/06/15,2010/07/01,USGS,IntermapTechnologiesInc.,ORI_n6230w14115P,AlbersConicalEqualArea,NAD83,0.625,METER,GEOTIFF,ORI,62°37'29.86"N,141°07'28.08"W,62°46'35.56"N,141°14'53.17"W,62°44'37.86"N,140°53'03.80"W,62°28'23.84"N,141°00'07.42"W,62°30'20.48"N,141°21'45.62"W,62.624961,-141.1244666,62.7765443,-141.2481027,62.7438499,-140.8843888,62.4732888,-141.0020611,62.5056888,-141.3626722,IFSARAK2010N6230W14115_01,IFSARAK2010N6230W14115_01
IFSARAK2010N6230W14130_01,2010/06/15,2010/07/01,USGS,IntermapTechnologiesInc.,ORI_n6230w14130P,AlbersConicalEqualArea,NAD83,0.625,METER,GEOTIFF,ORI,62°37'29.82"N,141°22'28.13"W,62°46'33.90"N,141°29'54.65"W,62°44'39.04"N,141°08'10.91"W,62°28'25.40"N,141°15'06.02"W,62°30'19.23"N,141°36'38.64"W,62.6249499,-141.3744804,62.7760832,-141.4985138,62.7441777,-141.1363638,62.4737221,-141.2516722,62.5053416,-141.6107333,IFSARAK2010N6230W14130_01,IFSARAK2010N6230W14130_01
IFSARAK2010N6230W14145_01,2010/06/15,2010/07/01,USGS,IntermapTechnologiesInc.,ORI_n6230w14145P,AlbersConicalEqualArea,NAD83,0.625,METER,GEOTIFF,ORI,62°37'29.85"N,141°37'28.02"W,62°46'32.47"N,141°44'55.73"W,62°44'40.45"N,141°23'17.99"W,62°28'26.89"N,141°30'04.74"W,62°30'17.90"N,141°51'31.39"W,62.6249582,-141.6244499,62.775686,-141.7488138,62.7445694,-141.3883305,62.474136,-141.5013166,62.5049722,-141.8587194,IFSARAK2010N6230W14145_01,IFSARAK2010N6230W14145_01
IFSARAK2010N6230W14200_01,2010/06/15,2010/07/01,USGS,IntermapTechnologiesInc.,ORI_n6230w14200P,AlbersConicalEqualArea,NAD83,0.625,METER,GEOTIFF,ORI,62°37'29.82"N,141°52'28.20"W,62°46'30.84"N,141°59'57.30"W,62°44'41.62"N,141°38'25.24"W,62°28'28.47"N,141°45'03.52"W,62°30'16.71"N,142°06'24.52"W,62.6249499,-141.8744999,62.7752332,-141.9992499,62.7448944,-141.6403444,62.4745749,-141.7509777,62.5046416,-142.1068111,IFSARAK2010N6230W14200_01,IFSARAK2010N6230W14200_01
IFSARAK2010N6245W14115_01,2010/06/15,2010/07/01,USGS,IntermapTechnologiesInc.,ORI_n6245w14115P,AlbersConicalEqualArea,NAD83,0.625,METER,GEOTIFF,ORI,62°52'29.83"N,141°07'28.17"W,63°01'34.81"N,141°14'53.32"W,62°59'37.76"N,140°53'00.75"W,62°43'24.53"N,141°00'07.47"W,62°45'20.51"N,141°21'48.78"W,62.8749527,-141.1244916,63.026336,-141.2481444,62.9938221,-140.8835416,62.7234804,-141.002075,62.7556972,-141.36355,IFSARAK2010N6245W14115_01,IFSARAK2010N6245W14115_01
IFSARAK2010N6245W14130_01,2010/06/15,2010/07/01,USGS,IntermapTechnologiesInc.,ORI_n6245w14130P,AlbersConicalEqualArea,NAD83,0.625,METER,GEOTIFF,ORI,62°52'29.85"N,141°22'28.06"W,63°01'33.30"N,141°29'54.62"W,62°59'39.08"N,141°08'07.73"W,62°43'26.07"N,141°15'05.96"W,62°45'19.25"N,141°36'41.61"W,62.8749582,-141.374461,63.0259166,-141.4985055,62.9941888,-141.1354805,62.7239082,-141.2516555,62.7553472,-141.6115583,IFSARAK2010N6245W14130_01,IFSARAK2010N6245W14130_01
IFSARAK2010N6245W14145_01,2010/06/15,2010/07/01,USGS,IntermapTechnologiesInc.,ORI_n6245w14145P,AlbersConicalEqualArea,NAD83,0.625,METER,GEOTIFF,ORI,62°52'29.89"N,141°37'28.01"W,63°01'31.90"N,141°44'55.93"W,62°59'40.49"N,141°23'14.74"W,62°43'27.56"N,141°30'04.55"W,62°45'17.96"N,141°51'34.54"W,62.8749693,-141.6244471,63.0255277,-141.7488694,62.9945805,-141.3874277,62.7243221,-141.5012638,62.7549888,-141.8595944,IFSARAK2010N6245W14145_01,IFSARAK2010N6245W14145_01
IFSARAK2010N6245W14200_01,2010/06/15,2010/07/01,USGS,IntermapTechnologiesInc.,ORI_n6245w14200P,AlbersConicalEqualArea,NAD83,0.625,METER,GEOTIFF,ORI,62°52'29.88"N,141°52'28.07"W,63°01'30.29"N,141°59'57.39"W,62°59'41.66"N,141°38'21.93"W,62°43'29.15"N,141°45'03.20"W,62°45'16.79"N,142°06'27.49"W,62.8749666,-141.8744638,63.0250804,-141.9992749,62.9949055,-141.6394249,62.7247638,-141.7508888,62.7546638,-142.1076361,IFSARAK2010N6245W14200_01,IFSARAK2010N6245W14200_01
IFSARAK2010N6100W14715_01,2010/07/10,2010/07/31,USGS,FugroEarthData Inc.,ORI_N6100W14715,AlbersConicalEqualArea,NAD83,2.500,METER,GEOTIFF,ORI,61°07'30.02"N,147°07'28.24"W,61°15'56.79"N,147°15'12"W,61°15'00.15"N,146°56'16.64"W,60°59'02.83"N,146°59'48.55"W,60°59'59"N,147°18'34.58"W,61.1250054,-147.124511,61.265775,-147.2533333,61.2500416,-146.9379555,60.9841194,-146.9968194,60.9997221,-147.3096055,IFSARAK2010N6100W14715_01,IFSARAK2010N6100W14715_01
IFSARAK2010N6100W14730_01,2010/07/10,2010/07/31,USGS,FugroEarthData Inc.,ORI_N6100W14730,AlbersConicalEqualArea,NAD83,2.500,METER,GEOTIFF,ORI,61°07'30.09"N,147°22'28.27"W,61°15'55.22"N,147°30'12.80"W,61°15'00.96"N,147°11'23.70"W,60°59'04.54"N,147°14'47.81"W,60°59'58.35"N,147°33'27.62"W,61.1250249,-147.3745193,61.2653388,-147.5035555,61.2502666,-147.1899166,60.9845944,-147.2466138,60.9995416,-147.5576722,IFSARAK2010N6100W14730_01,IFSARAK2010N6100W14730_01
IFSARAK2010N6100W14745_01,2010/07/10,2010/07/31,USGS,FugroEarthData Inc.,ORI_N6100W14745,AlbersConicalEqualArea,NAD83,2.500,METER,GEOTIFF,ORI,61°07'30.07"N,147°37'28.31"W,61°15'53.65"N,147°45'13.58"W,61°15'01.74"N,147°26'30.76"W,60°59'06.08"N,147°29'47.11"W,60°59'57.55"N,147°48'20.70"W,61.1250193,-147.6245304,61.2649027,-147.7537722,61.2504833,-147.4418777,60.9850221,-147.4964194,60.9993194,-147.80575,IFSARAK2010N6100W14745_01,IFSARAK2010N6100W14745_01
IFSARAK2010N6100W14800_01,2010/07/10,2010/07/31,USGS,FugroEarthData Inc.,ORI_N6100W14800,AlbersConicalEqualArea,NAD83,2.500,METER,GEOTIFF,ORI,61°07'30.04"N,147°52'28.20"W,61°15'51.89"N,148°00'14.04"W,61°15'02.32"N,147°41'37.87"W,60°59'07.76"N,147°44'46.42"W,60°59'56.91"N,148°03'13.42"W,61.125011,-147.8744999,61.2644138,-148.0039,61.2506444,-147.6938527,60.9854888,-147.7462277,60.9991416,-148.0537277,IFSARAK2010N6100W14800_01,IFSARAK2010N6100W14800_01
IFSARAK2010N6100W14815_01,2010/07/10,2010/07/31,USGS,FugroEarthData Inc.,ORI_N6100W14815,AlbersConicalEqualArea,NAD83,2.500,METER,GEOTIFF,ORI,61°07'30.07"N,148°07'28.10"W,61°15'50.31"N,148°15'14.82"W,61°15'03.03"N,147°56'44.64"W,60°59'09.41"N,147°59'45.44"W,60°59'56.30"N,148°18'06.50"W,61.1250193,-148.1244721,61.263975,-148.2541166,61.2508416,-147.9457333,60.9859471,-147.9959555,60.9989721,-148.3018055,IFSARAK2010N6100W14815_01,IFSARAK2010N6100W14815_01
IFSARAK2010N6100W14830_01,2010/07/10,2010/07/31,USGS,FugroEarthData Inc.,ORI_N6100W14830,AlbersConicalEqualArea,NAD83,2.500,METER,GEOTIFF,ORI,61°07'30.11"N,148°22'28.21"W,61°15'48.72"N,148°30'15.62"W,61°15'03.72"N,148°11'51.78"W,60°59'11.06"N,148°14'44.84"W,60°59'55.69"N,148°32'59.62"W,61.1250304,-148.3745027,61.2635333,-148.5043388,61.2510333,-148.1977166,60.9864055,-148.2457888,60.9988027,-148.5498944,IFSARAK2010N6100W14830_01,IFSARAK2010N6100W14830_01
IFSARAK2010N6100W14845_01,2010/07/10,2010/07/31,USGS,FugroEarthData Inc.,ORI_N6100W14845,AlbersConicalEqualArea,NAD83,2.500,METER,GEOTIFF,ORI,61°07'30.12"N,148°37'28.20"W,61°15'47.11"N,148°45'16.11"W,61°15'04.39"N,148°26'58.98"W,60°59'12.70"N,148°29'44.32"W,60°59'55.08"N,148°47'52.45"W,61.1250332,-148.6244999,61.2630861,-148.754475,61.2512194,-148.4497166,60.986861,-148.4956444,60.9986333,-148.7979027,IFSARAK2010N6100W14845_01,IFSARAK2010N6100W14845_01
IFSARAK2010N6100W14900_01,2010/07/10,2010/07/31,USGS,FugroEarthData Inc.,ORI_N6100W14900,AlbersConicalEqualArea,NAD83,2.500,METER,GEOTIFF,ORI,61°07'30.04"N,148°52'28.10"W,61°15'45.34"N,149°00'16.67"W,61°15'04.85"N,148°42'05.93"W,60°59'14.32"N,148°44'43.55"W,60°59'54.48"N,149°02'45.34"W,61.125011,-148.8744721,61.2625944,-149.0046305,61.2513472,-148.7016472,60.987311,-148.7454305,60.9984666,-149.0459277,IFSARAK2010N6100W14900_01,IFSARAK2010N6100W14900_01
IFSARAK2010N6100W14915_01,2010/07/10,2010/07/31,USGS,FugroEarthData Inc.,ORI_N6100W14915,AlbersConicalEqualArea,NAD83,2.500,METER,GEOTIFF,ORI,61°07'30.12"N,149°07'28.04"W,61°15'43.73"N,149°15'17.27"W,61°15'05.44"N,148°57'12.93"W,60°59'16.07"N,148°59'42.84"W,60°59'54.04"N,149°17'38.29"W,61.1250332,-149.1244554,61.2621472,-149.2547972,61.2515111,-148.9535916,60.9877971,-148.9952333,60.9983444,-149.2939694,IFSARAK2010N6100W14915_01,IFSARAK2010N6100W14915_01
IFSARAK2010N6100W14930_01,2010/07/10,2010/07/31,USGS,FugroEarthData Inc.,ORI_N6100W14930,AlbersConicalEqualArea,NAD83,2.500,METER,GEOTIFF,ORI,61°07'30.10"N,149°22'28.09"W,61°15'42.11"N,149°30'17.93"W,61°15'06.01"N,149°12'20.02"W,60°59'17.66"N,149°14'42.27"W,60°59'53.46"N,149°32'31.35"W,61.1250277,-149.3744693,61.2616972,-149.5049805,61.2516694,-149.2055611,60.9882388,-149.2450749,60.9981833,-149.5420416,IFSARAK2010N6100W14930_01,IFSARAK2010N6100W14930_01
IFSARAK2010N6100W14945_01,2010/07/10,2010/07/31,USGS,FugroEarthData Inc.,ORI_N6100W14945,AlbersConicalEqualArea,NAD83,2.500,METER,GEOTIFF,ORI,61°07'30.15"N,149°37'28.23"W,61°15'40.48"N,149°45'18.68"W,61°15'06.54"N,149°27'27.21"W,60°59'19.39"N,149°29'41.79"W,60°59'53.05"N,149°47'24.49"W,61.1250416,-149.6245082,61.2612444,-149.7551888,61.2518166,-149.4575583,60.9887194,-149.4949416,60.9980694,-149.790136,IFSARAK2010N6100W14945_01,IFSARAK2010N6100W14945_01
IFSARAK2010N6100W15000_01,2010/07/10,2010/07/31,USGS,FugroEarthData Inc.,ORI_N6100W15000,AlbersConicalEqualArea,NAD83,2.500,METER,GEOTIFF,ORI,61°07'30.10"N,149°52'28.16"W,61°15'38.84"N,150°00'19.18"W,61°15'07.04"N,149°42'34.18"W,60°59'20.93"N,149°44'41.14"W,60°59'52.47"N,150°02'17.43"W,61.1250277,-149.8744888,61.2607888,-150.0053277,61.2519555,-149.7094944,60.9891471,-149.744761,60.9979083,-150.0381749,IFSARAK2010N6100W15000_01,IFSARAK2010N6100W15000_01
